"Variable","Completeness_Percentage","Consistency","Outlier_Percentage","Min","Q1","Median","Mean","Q3","Max","SD","Mode"
"name",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"state",100,97.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"city",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"control",100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"institution_type",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"latest.academics.program_percentage.computer",87.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"latest.academics.program_percentage.engineering",87.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"latest.academics.program_percentage.mathematics",87.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"earn10",82.13,100,2.66,8579,31830,40567.5,43508.3011363636,51994,143372,17033.1979294541,NA
"latest.cost.avg_net_price.overall",80.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grad_rate",78.11,100,0,0.0167,0.386125,0.5582,0.550403345280765,0.712575,1,0.209861726816383,NA
"latest.aid.median_debt.completers.overall",76.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tuition_in",58,100,3.64,600,5688,11790,17237.6527219094,23186,69330,15644.1124562672,NA
"tuition_out",58,100,2.44,600,9492,15700,20548.4513274336,27816,69330,14660.8306145978,NA
"sat_avg",16.74,100,0.34,820,1076.75,1154,1177.20074349442,1256,1554,144.813376741127,NA
"Average",82.09,99.6,1.82,NA,NA,NA,NA,NA,NA,NA,NA
